rxn_formula,example reaction id,using dS_f data,extend of using dS_f data,dS_r_from_slope,dS_r_from_dG_r_and_dH_r,median_dG_r,rxn_formula_name,enzyme name,EC number
CHB_15377 + MAN_10162 = 2 CHB_4208,Keq_4185,20.9106412,0.666666667,,,-15959.70567,6-O--D-mannopyranose-D-mannopyranose(aq) + H2O(l) = 2 D-mannose(aq),"glucan 1,4--glucosidase",3.2.1.3
CHB_15377 + MAN_10163 = 2 CHB_4139,Keq_4184,38.56494453,0.666666667,,,-18369.65876,6-O--D-galactopyranosyl-D-galactopyranose(aq) + H2O(l) = 2 D-galactose(aq),"glucan 1,4--glucosidase",3.2.1.3
CHB_15377 + PBC_10357 = 2 CHB_4167,Keq_4180,35.19900989,0.666666667,,,-10938.11177,beta-isomaltose(aq) + H2O(l) = 2 D-glucose(aq),"glucan 1,4--glucosidase",3.2.1.3
CHB_15377 + MAN_10095 = CHB_16335,Keq_3392,-97.30822016,0.666666667,,,1915.04221,"4',5'-anhydroadenosine(aq) + H2O(l) = adenosine(aq)",adenosylhomocysteinase,3.3.1.1
CHB_15377 + CHB_15996 = MAN_10155,Keq_4228,3.458581142,0.666666667,,,7948.615063,"GTP(aq) + H2O(l) = ((2R,3S,4R,5R)-5-(2-amino-5-formamido-6-oxo-3,6-dihydropyrimidin-4-ylamino)-3,4-dihydroxytetrahydrofuran-2-yl)methyl tetrahydrogen triphosphate(aq)",GTP cyclohydrolase I,3.5.4.16
CHB_30936 = CHB_15361 + CHB_30089,Keq_3607,173.7932826,0.666666667,,,2516.887035,(S)-2-methylmalate(aq) = acetate(aq) + pyruvate(aq),citramalate lyase,4.1.3.22
MAN_10040 = CHB_15361 + CHB_4208,Keq_4188,145.2738811,0.666666667,,,7308.734379,2-keto-3-deoxy-D-glycero-D-galacto-nonopyranulosonate(aq) = D-mannose(aq) + pyruvate(aq),N-acetylneuraminate lyase,4.1.3.3
CHB_15590 = CHB_15361 + CHB_17272,Keq_2916,188.4390993,0.666666667,,,472.7504414,"2,3-dimethylmalate(aq) = propanoate(aq) + pyruvate(aq)","2,3-dimethylmalate lyase",4.1.3.32
CHB_17835 = CHB_15377 + CHB_18021,Keq_1389,-215.557423,0.666666667,,,36855.57651,2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),phosphopyruvate hydratase,4.2.1.11
CHB_30769 = CHB_15377 + CHB_16383,Keq_325,58.29184959,0.666666667,,,1505.660655,citrate(aq) = cis-aconitate(aq) + H2O(l),aconitate hydratase,4.2.1.3
CHB_15588 = CHB_15377 + CHB_30780,Keq_4074,32.09909599,0.666666667,,,19569.65651,(R)-malate(aq) = maleate(aq) + H2O(l),maleate hydratase,4.2.1.31
CHB_29989 = CHB_15377 + CHB_16924,Keq_1359,91.84859722,0.666666667,,,-9852.956921,D-glutamate(aq) = 5-oxo-D-proline(aq) + H2O(l),D-glutamate cyclase,4.2.1.48
CHB_15682 = CHB_16467 + CHB_29806,Keq_631,48.49095686,0.666666667,,,14387.86624,N-(L-argino)succinate(aq) = fumarate(aq) + L-arginine(aq),arginosuccinate lyase,4.3.2.1
CHB_15919 = CHB_16027 + CHB_29806,Keq_802,130.3012001,0.666666667,,,5346.750229,adenylosuccinate(aq) = fumarate(aq) + AMP(aq),adenylosuccinate lyase,4.3.2.2
CHB_15422 = CHB_17489 + CHB_18361,Keq_1997,-84.19804326,0.666666667,,,43814.20582,ATP(aq) = adenosine 3':5'-(cyclic)phosphate(aq) + diphosphate(aq),adenylate cyclase,4.6.1.1
CHB_15346 + CHB_15422 + CHB_30089 = CHB_15351 + CHB_16027 + CHB_18361,Keq_2370,-248.8664258,0.666666667,,,32914.73597,ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),acetate-CoA ligase,6.2.1.1
CHB_15346 + CHB_15422 + CHB_17272 = CHB_16027 + CHB_18361 + PBC_92753,Keq_674,-238.8574988,0.666666667,,,43377.18994,ATP(aq) + propanoate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + propanonyl-CoA(aq),acetate-CoA ligase,6.2.1.1
CHB_15346 + CHB_15422 + CHB_45571 = CHB_16027 + CHB_18361 + MAN_10013,Keq_594,-232.9723343,0.666666667,,,41497.08153,ATP(aq) + heptanoate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + n-heptanoyl-CoA(aq),butyrate-CoA ligase,6.2.1.2
CHB_15346 + CHB_15996 + CHB_30031 = CHB_15380 + CHB_17552 + CHB_26078,Keq_2716,-135.4246743,0.666666667,,,-35147.67068,GTP(aq) + succinate(aq) + CoA(aq) = GDP(aq) + phosphate(aq) + succinyl-CoA(aq),succinate-CoA ligase (GDP-forming),6.2.1.4
CHB_15346 + CHB_15422 + CHB_30031 = CHB_15380 + CHB_16761 + CHB_26078,Keq_758,-139.0229143,0.666666667,,,-32154.04583,ATP(aq) + succinate(aq) + CoA(aq) = ADP(aq) + phosphate(aq) + succinyl-CoA(aq),succinate-CoA ligase (ADP forming),6.2.1.5
CHB_15422 + CHB_15635 + CHB_15740 = CHB_15637 + CHB_16761 + CHB_26078,Keq_1309,-104.7398625,0.666666667,,,-53339.55517,ATP(aq) + formate(aq) + tetrahydrofolate(aq) = ADP(aq) + orthophosphate(aq) + 10-formyltetrahydrofolate(aq),formate-tetrahydrofolate ligase,6.3.4.3
CHB_15422 + CHB_16349 + CHB_29991 = CHB_15682 + CHB_16027 + CHB_18361,Keq_1251,-273.9885544,0.666666667,,,91026.75071,ATP(aq) + L-citrulline(aq) + L-aspartate(aq) = AMP(aq) + diphosphate(aq) + L-arginosuccinate(aq),arginosuccinate synthase,6.3.4.5
CHB_15422 + CHB_15539 + CHB_17544 = CHB_15466 + CHB_16761 + CHB_26078,Keq_1427,-187.1487599,0.666666667,,,18430.55274,ATP(aq) + propanoyl-CoA(aq) + carbon dioxide(aq) = ADP(aq) + orthophosphate(aq) + (S)-methylmalonyl-CoA(aq),propanoyl-CoA carboxylase,6.4.1.3
CHB_18009 + CHB_48928 = CHB_16474 + CHB_16526 + CHB_17363,Keq_1908,111.8173069,0.6,,,7582.487221,6-phospho-D-gluconate(aq) + NADP(aq) = D-ribulose 5-phosphate(aq) + NADPH(aq) + CO2(aq),phosphogluconate dehydrogenase (decarboxylating),1.1.1.44
CHB_15343 + CHB_15346 + CHB_15846 = CHB_15351 + CHB_16908,Keq_768,-182.4812898,0.6,,,23559.02106,acetaldehyde(aq) + CoA(aq) + NAD(aq) = acetyl-CoA(aq) + NADH(aq),acetaldehyde dehydrogenase (acetylating),1.2.1.10
CHB_18009 + CHB_18051 + CHB_26078 = CHB_15836 + CHB_16474,Keq_739,-192.9637681,0.6,,,97702.45662,L-aspartate 4-semialdehyde(aq) + NADP(aq) + orthophosphate(aq) = L-4-aspartyl phosphate(aq) + NADPH(aq),aspartate-semialdehyde dehydrogenase,1.2.1.11
CHB_15846 + CHB_26078 + CHB_29052 = CHB_16001 + CHB_16908,Keq_359,-216.4950202,0.6,,,90683.76162,D-glyceraldehyde 3-phosphate(aq) + orthophosphate(aq) + NAD(aq) = 3-phospho-D-glyceroyl phosphate(aq) + NADH(aq),glyceraldehyde-3-phosphate dehydrogenase,1.2.1.12
CHB_15377 + CHB_18009 + CHB_1989 = CHB_15637 + CHB_16474,Keq_4112,-62.43315554,0.6,,,40110.30403,"5,10-methylenetetrahydrofolate(aq) + NADP(aq) + H2O(l) = 10-formyltetrahydrofolate(aq) + NADPH(aq)",methylenetetrahydrofolate dehydrogenase (NADP+),1.5.1.5
CHB_15377 + CHB_15428 + MAN_10165 = CHB_17115 + MAN_10005,Keq_4060,43.43349809,0.6,,,7162.500523,CH2-H4PteGlu4(aq) + glycine(aq) + H2O(l) = H4PteGlu4(aq) + L-serine(aq),glycine hydroxymethyltransferase,2.1.2.1
CHB_15729 + CHB_16810 = CHB_15377 + CHB_29985 + CHB_58667,Keq_1435,31.39689889,0.6,,,29637.98273,L-ornithine(aq) + 2-oxoglutarate(aq) = DL-D-1-pyrroline-5-carboxylate(aq) + L-glutamate(aq) + H2O(l),ornithine-oxo-acid transaminase,2.6.1.13
CHB_15351 + CHB_15377 + CHB_16452 = CHB_15346 + CHB_30769,Keq_2181,-240.039052,0.6,,,14620.68546,oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),citrate (si)-synthase,4.1.3.7
CHB_16087 = CHB_30769,Keq_2233,-19.99837478,0.5,,,-2228.949694,isocitrate(aq) = citrate(aq),aconitate hydratase,4.2.1.3
CHB_13941 + CHB_15422 = CHB_16761 + CHB_17672,Keq_4293,-116.1425546,0.5,,,1057.582862,ATP(aq) + carbamate(aq) = ADP(aq) + carbamoyl phosphate(aq),carbamate kinase,2.7.2.2
CHB_15361 + PBC_123766 = CHB_18021 + PBC_6912713,Keq_2949,-422.0837603,0.5,,,97372.5785,ATP-b--S(aq) + pyruvate(aq) = ADP-b--S(aq) + phosphoenolpyruvate(aq),pyruvate kinase,2.7.1.40
CHB_15846 + CHB_18099 = CHB_16908 + CHB_17854,Keq_1164,-48.75782498,0.5,,,47919.03884,cyclohexanol(aq) + NAD(aq) = cyclohexanone(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_15846 + PBC_5318042 = CHB_16908 + PBC_5281168,Keq_1740,-49.5857823,0.5,,,53009.98184,trans-2-hexene-1-ol(aq) + NAD(aq) = trans-2-hexenal(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_15846 + CHB_50211 = CHB_16908 + CHB_17898,Keq_436,-63.37198194,0.5,,,53285.76657,vitamin A alcohol(aq) + NAD(aq) = vitamin A aldehyde(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_15846 + CHB_17987 = CHB_16908 + CHB_17169,Keq_2938,-44.33123316,0.5,,,62263.37881,benzyl alcohol(aq) + NAD(aq) = benzaldehyde(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_15846 + CHB_28857 = CHB_16908 + CHB_23292,Keq_1739,-43.62178649,0.5,,,67819.14866,cis-3-hexene-1-ol(aq) + NAD(aq) = cis-3-hexenal(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_16236 + PBC_4481 = CHB_15343 + PBC_4066204,Keq_269,-35.4539391,0.5,,,21693.95045,ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_16236 + PBC_123926 = CHB_15343 + MAN_10059,Keq_817,-83.55933175,0.5,,,52027.81211,ethanol(aq) + AP-NAD(aq) = acetaldehyde(aq) + AP-NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_17151 + CHB_18009 = CHB_16474 + MAN_10210,Keq_1144,-157.3746969,0.5,,,63473.45213,xylitol(aq) + NADP(aq) = L-xylulose(aq) + NADPH(aq),L-xylulose reductase,1.1.1.10
CHB_15846 + CHB_16347 = CHB_16758 + CHB_16908,Keq_1687,-12.98781644,0.5,,,64999.15807,L-carnitine(aq) + NAD(aq) = 3-dehydrocarnitine(aq) + NADH(aq),carnitine dehydrogenase,1.1.1.108
CHB_11060 + CHB_15846 = CHB_16758 + CHB_16908,Keq_4178,-13.35539249,0.5,,,66757.13545,D-carnitine(aq) + NAD(aq) = 3-dehydrocarnitine(aq) + NADH(aq),carnitine dehydrogenase,1.1.1.108
CHB_15846 + CHB_17282 = CHB_16908 + CHB_17640,Keq_1760,-18.07260099,0.5,,,34131.22713,indole-3-lactate(aq) + NAD(aq) = indole-3-pyruvate(aq) + NADH(aq),indolelactate dehydrogenase,1.1.1.110
CHB_15846 + CHB_16138 = CHB_16622 + CHB_16908,Keq_1420,-14.31747801,0.5,,,69186.80288,2-deoxy-D-gluconate(aq) + NAD(aq) = 2-deoxy-3-dehydro-D-gluconate(aq) + NADH(aq),2-deoxy-D-gluconate dehydrogenase,1.1.1.125
CHB_15846 + CHB_57561 = CHB_16908 + CHB_16943,Keq_1380,-16.6679011,0.5,,,62346.15803,L-threonate(aq) + NAD(aq) = 3-oxo-L-threonate(aq) + NADH(aq),L-threonate dehydrogenase,1.1.1.129
CHB_16908 + CHB_45868 = CHB_15774 + CHB_15846,Keq_4231,33.00192961,0.5,,,-79375.80032,dTDP-6-deoxy-L-lyxo-4-hexulose(aq) + NADH(aq) = dTDP-L-rhamnose(aq) + NAD(aq),dTDP-4-dehydrorhamnose reductase,1.1.1.133
CHB_16128 + CHB_16908 = CHB_15774 + CHB_15846,Keq_4230,27.19540768,0.5,,,-68512.94527,dTDP-6-deoxy-D-xylo-4-hexulose(aq) + NADH(aq) = dTDP-L-rhamnose(aq) + NAD(aq),"dTDP-4-dehydrorhamnose reductase and dTDP-4-dehydrorhamnose 3,5-epimerase",1.1.1.133
CHB_15846 + CHB_16813 = CHB_16908 + CHB_4249,Keq_3905,-125.2809351,0.5,,,53785.78403,galactitol(aq) + NAD(aq) = D-tagatose(aq) + NADH(aq),L-iditol dehydrogenase,1.1.1.14
CHB_15551 + CHB_15846 = CHB_16908 + CHB_57400,Keq_2548,-17.82095947,0.5,,,29801.16605,prostaglandin E2(aq) + NAD(aq) = 15-oxo-prostaglandin E2(aq) + NADH(aq),15-hydroxyprostaglandin dehydrogenase (NAD+),1.1.1.141
CHB_15544 + CHB_15846 = CHB_15548 + CHB_16908,Keq_2513,-24.08189259,0.5,,,44053.59405,prostaglandin E1(aq) + NAD(aq) = 15-oxo-prostaglandin E1(aq) + NADH(aq),15-hydroxyprostaglandin dehydrogenase (NAD+),1.1.1.141
CHB_15846 + MAN_10085 = CHB_16908 + MAN_10056,Keq_1360,-44.48612397,0.5,,,77148.85876,"4-pregnene-11,17,21-triol-3,20-dione(aq) + NAD(aq) = 4-pregnene-11,17-diol-3,20,21-trione(aq) + NADH(aq)",21-hydroxysteroid dehydrogenase (NAD+),1.1.1.150
CHB_15375 + CHB_18009 = CHB_16095 + CHB_16474,Keq_2028,-55.50940956,0.5,,,61746.85135,"7,8-dihydrobiopterin(aq) + NADP(aq) = sepiapterin(aq) + NADPH(aq)",sepiapterin reductase,1.1.1.153
CHB_15980 + CHB_18009 = CHB_16474 + CHB_17094,Keq_16,-50.75971621,0.5,,,63382.36247,(R)-pantoate(aq) + NADP(aq) = 2-dehydropantoate(aq) + NADPH(aq),2-dehydropantoate 2-reductase,1.1.1.169
CHB_15846 + CHB_17268 = CHB_16908 + MAN_10075,Keq_829,-45.43113111,0.5,,,67140.8226,myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),myo-inositol 2-dehydrogenase,1.1.1.18
CHB_17745 + CHB_18009 = CHB_16474 + CHB_16547,Keq_2554,-77.48050403,0.5,,,54969.88241,coniferyl alcohol(aq) + NADP(aq) = coniferyl aldehyde(aq) + NADPH(aq),coniferyl-alcohol dehydrogenase,1.1.1.194
CHB_15846 + CHB_29751 = CHB_16908 + CHB_32364,Keq_746,-43.22320168,0.5,,,57625.15633,quinate(aq) + NAD(aq) = 5-dehydroquinate(aq) + NADH(aq),quinate dehydrogenase,1.1.1.24
CHB_16119 + CHB_18009 = CHB_16474 + MAN_10177,Keq_748,-73.42243826,0.5,,,49856.15333,shikimate(aq) + NADP(aq) = 5-dehydroshikimate(aq) + NADPH(aq),shikimate dehydrogenase,1.1.1.25
CHB_15846 + CHS_10613168 = CHB_16908 + MAN_10137,Keq_1882,-16.5977673,0.5,,,59161.01736,"2,4-dihydroxybutanoate(aq) + NAD(aq) = 2-oxo-4-hydroxybutanoate(aq) + NADH(aq)",L-lactate dehydrogenase,1.1.1.27
CHB_16651 + PBC_123926 = CHB_15361 + MAN_10059,Keq_815,-36.02326875,0.5,,,58681.18575,(S)-lactate(aq) + AP-NAD(aq)= pyruvate(aq) + AP-NADH(aq),L-lactate dehydrogenase,1.1.1.27
CHB_18009 + CHB_36602 = CHB_11449 + CHB_16474,Keq_3613,-49.54186312,0.5,,,73116.25811,"2-keto-L-gulonate(aq) + NADP(aq) = 2,5-diketo-D-gluconate(aq) + NADPH(aq)","2,5-diketo-D-gluconate reductase",1.1.1.274
CHB_15699 + CHB_18009 = CHB_16474 + CHB_18051,Keq_742,-77.76851632,0.5,,,67507.22092,L-homoserine(aq) + NADP(aq) = L-aspartate 4-semialdehyde(aq) + NADPH(aq),homoserine dehydrogenase,1.1.1.3
CHB_15699 + CHB_15846 = CHB_16908 + CHB_18051,Keq_741,-42.76851632,0.5,,,59003.17032,L-homoserine(aq) + NAD(aq) = L-aspartate 4-semialdehyde(aq) + NADH(aq),homoserine dehydrogenase,1.1.1.3
CHB_10983 + CHB_15846 = CHB_13705 + CHB_16908,Keq_1316,-19.62736194,0.5,,,52840.02295,(R)-3-hydroxybutanoate(aq) + NAD(aq) = 3-oxobutanoate(aq) + NADH(aq),3-hydroxybutyrate dehydrogenase,1.1.1.30
CHB_11805 + CHB_15846 = CHB_16256 + CHB_16908,Keq_933,-42.74399382,0.5,,,60921.05748,3-hydroxy-2-methylpropanoate(aq) + NAD(aq) = 2-methyl-3-oxopropanoate(aq) + NADH(aq),3-hydroxyisobutyrate dehydrogenase,1.1.1.31
CHB_15453 + CHB_15846 = CHB_16908 + CHB_57286,Keq_730,-17.26709282,0.5,,,60303.7726,(S)-3-hydroxybutanoyl-CoA(aq) + NAD(aq) = 3-oxobutanoyl-CoA(aq) + NADH(aq),3-hydroxyacyl-CoA dehydrogenase,1.1.1.35
CHB_15846 + CHB_28276 = CHB_16908 + CHB_27648,Keq_734,-30.98353562,0.5,,,63180.33174,(S)-3-hydroxyhexanoyl-CoA(aq) + NAD(aq) = 3-oxohexanoyl-CoA(aq) + NADH(aq),3-hydroxyacyl-CoA dehydrogenase,1.1.1.35
CHB_15673 + CHB_15846 = CHB_16908 + CHS_13906764,Keq_2823,-18.02343173,0.5,,,81576.55158,meso-tartrate(aq) + NAD(aq) = 2-oxo-3-hydroxysuccinate(aq) + NADH(aq),malate dehydrogenase,1.1.1.37
CHB_15673 + CHB_15846 = CHB_16908 + CHB_4593,Keq_1766,-107.2242912,0.5,,,69267.58109,meso-tartrate(aq) + NAD(aq) = (E)-dihydroxyfumarate(aq) + NADH(aq),malate dehydrogenase,1.1.1.37
CHB_15846 + PBC_161843 = CHB_16908 + PBC_193291,Keq_4224,-33.36286828,0.5,,,78299.49966,"(2R,3R)-erythro-fluoromalate(aq) + NAD(aq) = (3R)-fluorooxalacetate(aq) + NADH(aq)",malate dehydrogenase,1.1.1.37
CHB_15589 + PBC_123927 = CHB_16452 + MAN_10009,Keq_4226,124.1491898,0.5,,,61576.23259,(S)-malate(aq) + 3-acetylpyridine adenine dinucleotide(ox)(aq) = oxaloacetate(aq) + 3-acetylpyridine adenine dinucleotide(red)(aq),malate dehydrogenase,1.1.1.37
CHB_15846 + CHB_16982 = CHB_15686 + CHB_16908,Keq_726,-20.23276073,0.5,,,57091.76848,"(R,R)-2,3-butanediol(aq) + NAD(aq) = (R)-acetoin(aq) + NADH(aq)","(R,R)-butanediol dehydrogenase",1.1.1.4
CHB_15846 + CHB_541975 = CHB_16908 + MAN_10082,Keq_872,-40.28551128,0.5,,,49461.93256,"5-androstane-3-ol-17-one(aq) + NAD(aq) = 5-androstane-3,17-dione(aq) + NADH(aq)",3-hydroxysteroid dehydrogenase,1.1.1.50
CHB_15846 + PBC_11301 = CHB_16908 + MAN_10012,Keq_946,-42.27930013,0.5,,,51104.39308,"5-androstane-3,17-diol(aq) + NAD(aq) = 5-androstane-17-ol-3-one(aq) + NADH(aq)",3-hydroxysteroid dehydrogenase,1.1.1.50
CHB_15846 + CHB_17347 = CHB_16422 + CHB_16908,Keq_862,-39.20769502,0.5,,,45414.81116,"4-androstene-17-ol-3-one(aq) + NAD(aq) = 4-androstene-3,17-dione(aq) + NADH(aq)",3(or 17)_-hydroxysteroid dehydrogenase,1.1.1.51
CHB_15846 + MAN_10159 = CHB_16908 + MAN_10158,Keq_1199,-42.28303107,0.5,,,53436.61478,"5-pregnane-3,17,21-triol-20-one(aq) + NAD(aq) = 5-pregnane-17,21-diol-3,20-dione(aq) + NADH(aq)",3(or 17)_-hydroxysteroid dehydrogenase,1.1.1.51
CHB_15846 + MAN_10156 = CHB_16908 + MAN_10157,Keq_1191,-41.25403934,0.5,,,54216.08962,"5-pregnane-3,17,21-triol-11,20-dione(aq) + NAD(aq) = 5-pregnane-17,21-diol-3,11,20-trione(aq) + NADH(aq)",3(or 17)_-hydroxysteroid dehydrogenase,1.1.1.51
CHB_16997 + CHB_18009 = CHB_16474 + CHB_18041,Keq_1216,-81.08864618,0.5,,,72291.2502,"1,2-propanediol(aq) + NADP(aq) = L-lactaldehyde(aq) + NADPH(aq)",lactaldehyde reductase (NADPH),1.1.1.55
CHB_15846 + CHB_16510 = CHB_16908 + CHB_33190,Keq_1124,-46.04246798,0.5,,,66041.88831,3-hydroxypropanoate(aq) + NAD(aq) = 3-oxopropanoate(aq) + NADH(aq),3-hydroxypropionate dehydrogenase,1.1.1.59
CHB_15846 + CHB_16659 = CHB_16908 + CHB_16992,Keq_1268,-44.92959941,0.5,,,70202.94365,(R)-glycerate(aq) + NAD(aq) = 2-hydroxy-3-oxopropanoate(aq) + NADH(aq),2-hydroxy-3-oxopropionate reductase,1.1.1.60
CHB_15846 + CHB_16724 = CHB_16908 + CHB_57706,Keq_1234,-45.51416619,0.5,,,40036.96482,4-hydroxybutanoate(aq) + NAD(aq) = 4-oxobutanoate(aq) + NADH(aq),4-hydroxybutyrate dehydrogenase,1.1.1.61
CHB_15846 + CHB_16469 = CHB_16908 + CHB_17263,Keq_1073,-30.65294139,0.5,,,47009.32013,estradiol-17(aq) + NAD(aq) = estrone(aq) + NADH(aq),estradiol 17_-dehydrogenase,1.1.1.62
CHB_16709 + CHB_18009 = CHB_16474 + CHB_17310,Keq_3643,-72.39667464,0.5,,,70274.18889,pyridoxine(aq) + NADP(aq) = pyridoxal(aq) + NADPH(aq),pyridoxine 4-dehydrogenase,1.1.1.65
CHB_18009 + CHB_18391 = CHB_16474 + MAN_10099,Keq_1362,-54.93451242,0.5,,,70651.71113,D-gluconate(aq) + NADP(aq) = 5-oxo-D-gluconate(aq) + NADPH(aq),gluconate 5-dehydrogenase,1.1.1.69
CHB_15846 + PBC_101748 = CHB_16908 + MAN_10206,Keq_1131,-117.4063629,0.5,,,60520.70542,D-glycero-D-glucoheptitol(aq) + NAD(aq) = D-sedoheptulose(aq) + NADH(aq),D-xylulose reductase,1.1.1.9
CHB_15846 + PBC_120700 = CHB_16908 + CHS_9553766,Keq_1128,-100.6664513,0.5,,,63860.74887,allitol(aq) + NAD(aq) = D-psicose(aq) + NADH(aq),D-xylulose reductase,1.1.1.9
CHB_15846 + CHB_42090 = CHB_16908 + CHB_27913,Keq_1137,-16.05610716,0.5,,,65670.77285,L-threitol(aq) + NAD(aq) = L-erythrulose(aq) + NADH(aq),D-xylulose reductase,1.1.1.9
CHB_15846 + CHB_17794 = CHB_16908 + CHB_18110,Keq_2978,-21.14721746,0.5,,,73958.79418,3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq),phosphoglycerate dehydrogenase,1.1.1.95
CHB_15846 + CHB_16122 = CHB_16908 + CHB_17131,Keq_1961,-8.421492241,0.5,,,74659.35755,"(3,5-diiodo-4-hydroxyphenyl)lactate(aq) + NAD(aq) = (3,5-diiodo-4-hydroxyphenyl)pyruvate(aq) + NADH(aq)",diiodophenylpyruvate reductase,1.1.1.96
CHB_17069 + CHB_18009 = CHB_16207 + CHB_16474,Keq_2070,-80.44203952,0.5,,,48079.63775,3-hydroxybenzyl alcohol(aq) + NADP(aq) = 3-hydroxybenzaldehyde(aq) + NADPH(aq),3-hydroxybenzyl-alcohol dehydrogenase,1.1.1.97
CHB_18009 + CHB_18391 = CHB_16474 + CHB_27469,Keq_1120,-51.21580533,0.5,,,60852.02878,D-gluconate(aq) + NADP(aq) = 2-oxo-D-gluconate(aq) + NADPH(aq),gluconate 2-dehydrogenase,1.1.99.3
CHB_16474 + CHB_57706 = CHB_16724 + CHB_18009,Keq_3391,80.51416619,0.5,,,-50487.0998,4-oxobutanoate(aq) + NADPH(aq) = 4-hydroxybutanoate(aq) + NADP(aq),succinate-semialdehyde reductase,1.1.1.B47
CHB_15846 + CHB_30864 = CHB_16908 + CHB_30839,Keq_1278,-110.2456822,0.5,,,55662.42275,(S)-dihydroorotate(aq) + NAD(aq) = orotate(aq) + NADH(aq),dihydroorotate dehydrogenase,1.3.99.11
CHB_15428 + CHB_30313 = CHB_16526 + MAN_10149,Keq_3456,179.0867431,0.5,,,-33595.3354,glycine(aq) + lipoate(aq) = S-aminomethyldihydro--lipoate(aq) + CO2(aq),glycine dehydrogenase (decarboxylating),1.4.4.2
CHB_15846 + CHB_1989 = CHB_15638 + CHB_16908,Keq_3968,-20.08193099,0.5,,,-1278.602848,"5,10-methylenetetrahydrofolate(aq) + NAD(aq) = 5,10-methenyltetrahydrofolate(aq) + NADH(aq)",methylenetetrahydrofolate dehydrogenase (NAD+),1.5.1.15
CHB_15635 + CHB_18009 = CHB_15633 + CHB_16474,Keq_1358,-64.4432147,0.5,,,72710.7435,"5,6,7,8-tetrahydrofolate(aq) + NADP(aq) = 7,8-dihydrofolate(aq) + NADPH(aq)",dihydrofolate reductase,1.5.1.3
CHB_18009 + CHB_1989 = CHB_15638 + CHB_16474,Keq_1660,-55.08193099,0.5,,,8764.9752,"5,10-methylenetetrahydrofolate(aq) + NADP(aq) = 5,10-methenyltetrahydrofolate(aq) + NADPH(aq)",methylenetetrahydrofolate dehydrogenase (NADP+),1.5.1.5
CHB_15846 + 2 CHB_16856 = CHB_16908 + CHB_17858,Keq_1396,-193.8868431,0.5,,,64521.9091,2 reduced glutathione(aq) + NAD(aq) = oxidized glutathione(aq) + NADH(aq),glutathione reductase (NAD(P)H),1.6.4.2
CHB_15846 + CHB_17694 = CHB_16908 + CHB_17460,Keq_1169,-184.8019746,0.5,,,47777.20749,dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),dihydrolipoamide dehydrogenase,1.8.1.4
CHB_15539 + CHB_16452 = CHB_15361 + CHB_16625,Keq_1288,-130.0844261,0.5,,,1149.465249,oxaloacetate(aq) + propanoyl-CoA(aq) = pyruvate(aq) + methylmalonyl-CoA(aq),methylmalonyl-CoA carboxyltransferase,2.1.3.1
CHB_17672 + CHB_29991 = CHB_15859 + CHB_26078,Keq_3612,-0.034884067,0.5,,,-17442.7734,carbamoyl phosphate(aq) + L-aspartate(aq) = orthophosphate(aq) + N-carbamoyl-L-aspartate(aq),aspartate carbamoyl-transferase,2.1.3.2
CHB_15428 + CHB_16467 = CHB_15729 + CHB_16344,Keq_836,-2.042087678,0.5,,,-123.0446481,L-arginine(aq) + glycine(aq) = L-ornithine(aq) + guanidinoacetate(aq),glycine amidinotransferase,2.1.4.1
CHB_29052 + CHB_37721 = CHB_17378 + CHB_61553,Keq_1106,54.43361309,0.5,,,3334.518447,D-fructose(aq) + D-glyceraldehyde-3-phosphate(aq) = D-fructose 6-phosphate(aq) + D-glyceraldehyde(aq),transaldolase,2.2.1.2
CHB_15351 + CHB_15740 = CHB_15346 + CHB_15361,Keq_2375,79.38695279,0.5,,,16769.83842,acetyl-CoA(aq) + formate(aq) = CoA(aq) + pyruvate(aq),formate C-acetyltransferase,2.3.1.54
CHB_18066 + CHB_61553 = CHB_16308 + CHB_17659,Keq_3370,49.16203086,0.5,,,1280.042009,UDPglucose(aq) + D-fructose 6-phosphate(aq) = UDP(aq) + sucrose 6-phosphate(aq),sucrose-phosphate synthase,2.4.1.14
